population,Mongolian,Aleutian,Buryat,Chukchi,Evenki,Khanty,Naukan,Selkup,Tuvinians,Yakut
Mongolian,0,0.06,0.01,0.05,0.02,0.04,0.07,0.04,0.01,0.02
Aleutian,0.06,0,0.07,0.06,0.08,0.08,0.06,0.08,0.07,0.08
Buryat,0.01,0.07,0,0.05,0.02,0.05,0.08,0.04,0.01,0.02
Chukchi,0.05,0.06,0.05,0,0.05,0.07,0.04,0.06,0.05,0.06
Evenki,0.02,0.08,0.02,0.05,0,0.05,0.08,0.04,0.02,0
Khanty,0.04,0.08,0.05,0.07,0.05,0,0.09,0.03,0.04,0.05
Naukan,0.07,0.06,0.08,0.04,0.08,0.09,0,0.08,0.07,0.08
Selkup,0.04,0.08,0.04,0.06,0.04,0.03,0.08,0,0.04,0.04
Tuvinians,0.01,0.07,0.01,0.05,0.02,0.04,0.07,0.04,0,0.02
Yakut,0.02,0.08,0.02,0.06,0,0.05,0.08,0.04,0.02,0
