population,N,Metopic suture,Supraorbital foramen,Frontal foramen,Trochlear spur,Multiple infraorbital foramina,Transv. zygomatic suture traces (+5mm),Pterion form X-shaped,Epipteric bone,Fronto-temporal articulation,Parietal notch bone,Asteronic bone,Parietal foramen,Inca bone,Triquetrum bone,Ossicle at lambda,Lambdoidal ossicles,Mendosa suture traces,Mastoid foramen exsutural,Occipito-mastoideum ossicle,Interparietal process,Posterior condylar foramen,Hypoglossal canal bridging,Condylar facet double,Precondylar tubercle,Tympanic dehiscence,Foramen spinosum open,Pterygospinous foramen,Transverse palatine suture concave,Transverse palatine suture broken,Palatine torus
Mongolian,87,0.034,0.471,0.057,0.082,0.082,0.034,0.103,0.16,0.011,0.046,0.011,0.391,0.023,0.023,0.011,0.126,0.045,0.375,0.02,0.023,0.681,0.238,0.136,0.043,0.011,0.174,0.14,0.042,0.166,0.063
Aleutian,56,0.054,0.642,0.071,0.038,0.25,0.167,0.085,0.106,0.02,0.089,0.054,0.446,0.019,0.058,0.038,0.192,0.019,0.286,0.073,0.01,0.067,0.235,0.02,0.022,0.178,0.224,0.072,0.057,0.143,0.286
Buryat,78,0.051,0.564,0.076,0.158,0.115,0.046,0.046,0.192,0.064,0.089,0.038,0.384,0,0.038,0.025,0.107,0.089,0.243,0.041,0.038,0.605,0.184,0.056,0.107,0.051,0.179,0.179,0.036,0.059,0.103
Chukchi,149,0.025,0.755,0.1635,0.01,0.1865,0.034,0.143,0.062,0.0135,0.15,0.041,0.408,0.027,0.0335,0.0205,0.084,0.0635,0.324,0.0995,0.069,0.682,0.284,0.043,0.0525,0.229,0.2735,0.0775,0.059,0.2115,0.189
Evenki,29,0.034,0.62,0.034,0.172,0.038,0.138,0.206,0.103,0.034,0.034,0.034,0.413,0.01,0.034,0.034,0.103,0.01,0.37,0.074,0.071,0.5,0.25,0.143,0.069,0.103,0.071,0.143,0.111,0.178,0.154
Khanty,229,0.034,0.493,0.07,0.078,0.118,0.044,0.064,0.17,0.021,0.079,0.031,0.511,0.013,0.026,0.039,0.218,0.021,0.292,0.039,0.057,0.572,0.161,0.044,0.01,0.113,0.244,0.122,0.01,0.056,0.118
Naukan,102,0.049,0.637,0.196,0.027,0.109,0.029,0.243,0.045,0.01,0.126,0.029,0.513,0,0.045,0,0.063,0.08,0.32,0.049,0.039,0.72,0.2,0.05,0.05,0.167,0.2,0.078,0.079,0.2,0.147
Selkup,93,0.064,0.4,0.066,0.102,0.096,0.045,0.044,0.144,0.022,0.022,0.078,0.378,0.01,0.022,0.011,0.355,0.011,0.25,0.011,0.011,0.48,0.19,0.09,0.03,0.054,0.022,0.044,0.061,0.022,0.068
Tuvinians,59,0.068,0.745,0.034,0.085,0.146,0.085,0.017,0.118,0.017,0.085,0.085,0.458,0.01,0.107,0.053,0.232,0.085,0.31,0.034,0.051,0.584,0.113,0.01,0.036,0.148,0.187,0.123,0.023,0.204,0.102
Yakut,40,0.025,0.7,0.125,0.1,0.05,0.125,0.025,0.175,0,0.1,0,0.3,0,0,0.025,0.3,0.05,0.3,0.05,0.125,0.5,0.2,0.075,0.025,0.1,0.175,0.115,0.102,0.175,0.1
