"excluded","r","p","panel"
"Mongolian",0.533758351182276,0.036,"All traits"
"Aleutian",0.573080935585862,0.031,"All traits"
"Buryat",0.48327086893595,0.0635,"All traits"
"Chukchi",0.532841236892846,0.071,"All traits"
"Evenki",0.511266548585037,0.0425,"All traits"
"Khanty",0.509225180715895,0.056,"All traits"
"Naukan",0.55044955112979,0.067,"All traits"
"Selkup",0.531695543668716,0.0515,"All traits"
"Tuvinians",0.506196507506695,0.0435,"All traits"
"Yakut",0.439086864488864,0.096,"All traits"
"Mongolian",0.701589869069782,0.001,"Honest max-over-k, k=12"
"Aleutian",0.768290923264006,0.0015,"Honest max-over-k, k=12"
"Buryat",0.662935839417257,0.0015,"Honest max-over-k, k=12"
"Chukchi",0.727731579302299,0.0025,"Honest max-over-k, k=12"
"Evenki",0.693346598313979,5e-04,"Honest max-over-k, k=12"
"Khanty",0.716984828693757,0.001,"Honest max-over-k, k=12"
"Naukan",0.787818974601957,0.001,"Honest max-over-k, k=12"
"Selkup",0.716630564957488,5e-04,"Honest max-over-k, k=12"
"Tuvinians",0.657640211614729,0.002,"Honest max-over-k, k=12"
"Yakut",0.646441132425679,0.0025,"Honest max-over-k, k=12"
"Mongolian",0.701452117491987,5e-04,"Honest fixed k=12"
"Aleutian",0.722961967155169,0.0025,"Honest fixed k=12"
"Buryat",0.659584309793787,0.002,"Honest fixed k=12"
"Chukchi",0.713562547707265,0.005,"Honest fixed k=12"
"Evenki",0.672862772457463,0.002,"Honest fixed k=12"
"Khanty",0.684315763858105,0.0035,"Honest fixed k=12"
"Naukan",0.75992460626312,0.0015,"Honest fixed k=12"
"Selkup",0.679746437093436,0.0045,"Honest fixed k=12"
"Tuvinians",0.657465098157938,0.002,"Honest fixed k=12"
"Yakut",0.638567569733171,0.005,"Honest fixed k=12"
