"k","n_subsets","r_max","p_best","traits"
1,30,0.51158508809341,0.016,"Multiple infraorbital foramina"
2,435,0.673720654474425,0.002,"Multiple infraorbital foramina; Epipteric bone"
3,4060,0.682513186431684,0.003,"Multiple infraorbital foramina; Transv. zygomatic suture traces (+5mm); Epipteric bone"
4,27405,0.697737881576356,0.005,"Trochlear spur; Multiple infraorbital foramina; Pterion form X-shaped; Palatine torus"
5,142506,0.721179178505959,0.004,"Trochlear spur; Multiple infraorbital foramina; Transv. zygomatic suture traces (+5mm); Pterion form X-shaped; Palatine torus"
6,169849,0.725037434514934,0.002,"Trochlear spur; Multiple infraorbital foramina; Transv. zygomatic suture traces (+5mm); Pterion form X-shaped; Parietal foramen; Palatine torus"
7,190564,0.707330264138906,0.003,"Trochlear spur; Multiple infraorbital foramina; Transv. zygomatic suture traces (+5mm); Pterion form X-shaped; Parietal foramen; Pterygospinous foramen; Palatine torus"
8,196590,0.696993753450517,0.001,"Frontal foramen; Trochlear spur; Pterion form X-shaped; Epipteric bone; Parietal notch bone; Posterior condylar foramen; Pterygospinous foramen; Transverse palatine suture concave"
9,198548,0.703057620274892,0.001,"Frontal foramen; Trochlear spur; Multiple infraorbital foramina; Pterion form X-shaped; Epipteric bone; Parietal foramen; Inca bone; Interparietal process; Posterior condylar foramen"
10,199315,0.714254955580815,0.001,"Frontal foramen; Trochlear spur; Multiple infraorbital foramina; Pterion form X-shaped; Epipteric bone; Parietal foramen; Mendosa suture traces; Interparietal process; Posterior condylar foramen; Transverse palatine suture concave"
11,199645,0.708586824033074,0.001,"Frontal foramen; Trochlear spur; Multiple infraorbital foramina; Pterion form X-shaped; Epipteric bone; Parietal notch bone; Parietal foramen; Ossicle at lambda; Interparietal process; Posterior condylar foramen; Transverse palatine suture broken"
12,199772,0.708058786071392,0.001,"Frontal foramen; Trochlear spur; Multiple infraorbital foramina; Pterion form X-shaped; Epipteric bone; Parietal notch bone; Parietal foramen; Lambdoidal ossicles; Occipito-mastoideum ossicle; Posterior condylar foramen; Pterygospinous foramen; Transverse palatine suture concave"
