"excluded","r","p","panel"
"Finns",0.555120019762887,0.005,"All traits"
"Karelians",0.614473469768211,0.0035,"All traits"
"Mordovians",0.546410182842087,0.0085,"All traits"
"Maris",0.583553095213377,0.0055,"All traits"
"Komis",0.555374558882013,0.0015,"All traits"
"Udmurts",0.606992713301416,0.0055,"All traits"
"Mansis",0.718705596987056,0.0095,"All traits"
"Khanty",0.613958198492629,0.0055,"All traits"
"Selkups",0.602862329876249,0.01,"All traits"
"Finns",0.767220465397317,0.003,"Honest max-over-k, k=6"
"Karelians",0.846827060413802,5e-04,"Honest max-over-k, k=6"
"Mordovians",0.836848061455849,0.001,"Honest max-over-k, k=6"
"Maris",0.867936713822606,5e-04,"Honest max-over-k, k=6"
"Komis",0.822334811312985,5e-04,"Honest max-over-k, k=6"
"Udmurts",0.850305500040159,0.001,"Honest max-over-k, k=6"
"Mansis",0.897434485618551,0.0035,"Honest max-over-k, k=6"
"Khanty",0.840731382899502,0.001,"Honest max-over-k, k=6"
"Selkups",0.831431181384203,0.001,"Honest max-over-k, k=6"
"Finns",0.758390832523884,0.0015,"Honest fixed k=12"
"Karelians",0.783686494497371,0.001,"Honest fixed k=12"
"Mordovians",0.769958728341008,0.002,"Honest fixed k=12"
"Maris",0.803677582164326,0.001,"Honest fixed k=12"
"Komis",0.738726553211039,0.0015,"Honest fixed k=12"
"Udmurts",0.782284656713204,0.0025,"Honest fixed k=12"
"Mansis",0.831365344305806,0.008,"Honest fixed k=12"
"Khanty",0.801467652754849,0.0045,"Honest fixed k=12"
"Selkups",0.786420941814503,0.004,"Honest fixed k=12"
