"k","n_subsets","r_max","p_best","traits"
1,30,0.667268218245917,0.004,"Palatine torus"
2,435,0.741691143384989,0.003,"Parietal notch bone; Transverse palatine suture broken"
3,4060,0.80999794216337,0.001,"Tympanic dehiscence; Transverse palatine suture broken; Palatine torus"
4,27405,0.828606332112041,0.001,"Parietal notch bone; Mendosa suture traces; Tympanic dehiscence; Transverse palatine suture broken"
5,142506,0.845628049418659,0.001,"Multiple infraorbital foramina; Parietal notch bone; Mendosa suture traces; Tympanic dehiscence; Transverse palatine suture broken"
6,169849,0.848286103132176,0.001,"Multiple infraorbital foramina; Parietal notch bone; Triquetrum bone; Mendosa suture traces; Tympanic dehiscence; Transverse palatine suture broken"
7,190564,0.842251065778403,0.001,"Multiple infraorbital foramina; Fronto-temporal articulation; Parietal notch bone; Mendosa suture traces; Tympanic dehiscence; Transverse palatine suture broken; Palatine torus"
8,196590,0.841791028155803,0.002,"Fronto-temporal articulation; Parietal notch bone; Triquetrum bone; Lambdoidal ossicles; Mendosa suture traces; Tympanic dehiscence; Transverse palatine suture broken; Palatine torus"
9,198548,0.829131028505894,0.001,"Multiple infraorbital foramina; Fronto-temporal articulation; Parietal notch bone; Lambdoidal ossicles; Mendosa suture traces; Mastoid foramen exsutural; Tympanic dehiscence; Transverse palatine suture broken; Palatine torus"
10,199315,0.825012930117475,0.002,"Metopic suture; Multiple infraorbital foramina; Parietal notch bone; Triquetrum bone; Lambdoidal ossicles; Mendosa suture traces; Tympanic dehiscence; Pterygospinous foramen; Transverse palatine suture broken; Palatine torus"
11,199645,0.810685002214902,0.001,"Multiple infraorbital foramina; Fronto-temporal articulation; Parietal notch bone; Asteronic bone; Triquetrum bone; Lambdoidal ossicles; Mastoid foramen exsutural; Tympanic dehiscence; Pterygospinous foramen; Transverse palatine suture broken; Palatine torus"
12,199772,0.801429645998547,0.001,"Supraorbital foramen; Trochlear spur; Multiple infraorbital foramina; Fronto-temporal articulation; Parietal notch bone; Lambdoidal ossicles; Mendosa suture traces; Precondylar tubercle; Tympanic dehiscence; Pterygospinous foramen; Transverse palatine suture broken; Palatine torus"
