"region","excluded","r","p","panel"
"Ural","Finns",0.555120019762887,0.005,"All traits"
"Ural","Karelians",0.614473469768211,0.0035,"All traits"
"Ural","Mordovians",0.546410182842087,0.0085,"All traits"
"Ural","Maris",0.583553095213377,0.0055,"All traits"
"Ural","Komis",0.555374558882013,0.0015,"All traits"
"Ural","Udmurts",0.606992713301416,0.0055,"All traits"
"Ural","Mansis",0.718705596987056,0.0095,"All traits"
"Ural","Khanty",0.613958198492629,0.0055,"All traits"
"Ural","Selkups",0.602862329876249,0.01,"All traits"
"Ural","Finns",0.767220465397317,0.003,"Honest max-over-k, k=6"
"Ural","Karelians",0.846827060413802,5e-04,"Honest max-over-k, k=6"
"Ural","Mordovians",0.836848061455849,0.001,"Honest max-over-k, k=6"
"Ural","Maris",0.867936713822606,5e-04,"Honest max-over-k, k=6"
"Ural","Komis",0.822334811312985,5e-04,"Honest max-over-k, k=6"
"Ural","Udmurts",0.850305500040159,0.001,"Honest max-over-k, k=6"
"Ural","Mansis",0.897434485618551,0.0035,"Honest max-over-k, k=6"
"Ural","Khanty",0.840731382899502,0.001,"Honest max-over-k, k=6"
"Ural","Selkups",0.831431181384203,0.001,"Honest max-over-k, k=6"
"Ural","Finns",0.758390832523884,0.0015,"Honest fixed k=12"
"Ural","Karelians",0.783686494497371,0.001,"Honest fixed k=12"
"Ural","Mordovians",0.769958728341008,0.002,"Honest fixed k=12"
"Ural","Maris",0.803677582164326,0.001,"Honest fixed k=12"
"Ural","Komis",0.738726553211039,0.0015,"Honest fixed k=12"
"Ural","Udmurts",0.782284656713204,0.0025,"Honest fixed k=12"
"Ural","Mansis",0.831365344305806,0.008,"Honest fixed k=12"
"Ural","Khanty",0.801467652754849,0.0045,"Honest fixed k=12"
"Ural","Selkups",0.786420941814503,0.004,"Honest fixed k=12"
"Siberia","Mongolian",0.533758351182276,0.036,"All traits"
"Siberia","Aleutian",0.573080935585862,0.031,"All traits"
"Siberia","Buryat",0.48327086893595,0.0635,"All traits"
"Siberia","Chukchi",0.532841236892846,0.071,"All traits"
"Siberia","Evenki",0.511266548585037,0.0425,"All traits"
"Siberia","Khanty",0.509225180715895,0.056,"All traits"
"Siberia","Naukan",0.55044955112979,0.067,"All traits"
"Siberia","Selkup",0.531695543668716,0.0515,"All traits"
"Siberia","Tuvinians",0.506196507506695,0.0435,"All traits"
"Siberia","Yakut",0.439086864488864,0.096,"All traits"
"Siberia","Mongolian",0.701589869069782,0.001,"Honest max-over-k, k=12"
"Siberia","Aleutian",0.768290923264006,0.0015,"Honest max-over-k, k=12"
"Siberia","Buryat",0.662935839417257,0.0015,"Honest max-over-k, k=12"
"Siberia","Chukchi",0.727731579302299,0.0025,"Honest max-over-k, k=12"
"Siberia","Evenki",0.693346598313979,5e-04,"Honest max-over-k, k=12"
"Siberia","Khanty",0.716984828693757,0.001,"Honest max-over-k, k=12"
"Siberia","Naukan",0.787818974601957,0.001,"Honest max-over-k, k=12"
"Siberia","Selkup",0.716630564957488,5e-04,"Honest max-over-k, k=12"
"Siberia","Tuvinians",0.657640211614729,0.002,"Honest max-over-k, k=12"
"Siberia","Yakut",0.646441132425679,0.0025,"Honest max-over-k, k=12"
"Siberia","Mongolian",0.701452117491987,5e-04,"Honest fixed k=12"
"Siberia","Aleutian",0.722961967155169,0.0025,"Honest fixed k=12"
"Siberia","Buryat",0.659584309793787,0.002,"Honest fixed k=12"
"Siberia","Chukchi",0.713562547707265,0.005,"Honest fixed k=12"
"Siberia","Evenki",0.672862772457463,0.002,"Honest fixed k=12"
"Siberia","Khanty",0.684315763858105,0.0035,"Honest fixed k=12"
"Siberia","Naukan",0.75992460626312,0.0015,"Honest fixed k=12"
"Siberia","Selkup",0.679746437093436,0.0045,"Honest fixed k=12"
"Siberia","Tuvinians",0.657465098157938,0.002,"Honest fixed k=12"
"Siberia","Yakut",0.638567569733171,0.005,"Honest fixed k=12"
